country,beautiful thing,category,note,alternatives,source,source URL,other sources
Afghanistan,Biggest drop in teen pregnancies,HEALTH,"Decline in births per 1,000 women aged 15-19 from 163/1000 in 1990 to 69/1000 in 2017 . ",,World Bank,https://data.worldbank.org/indicator/SP.ADO.TFRT,https://docs.google.com/spreadsheets/d/1FEeV6Fw-xEm0x0WR3eLjN9EHkKJKbln3nBo82h65Sps/edit#gid=1850790227
Albania,Most improved democracy,FREEDOM & RIGHTS,"Most improved rating, going from 1/10 in 1990 to 9/10 in 2017. ",,Systemic Peace,http://www.systemicpeace.org/inscrdata.html,
Algeria,First to recognise Palestine,FREEDOM & RIGHTS,,,Deloitte,need link,
Angola,Biggest drop in hunger,HEALTH,Prevalence of undernourishment in the population fell from 72% in 2000 to 25% in 2017. ,,World Bank,https://data.worldbank.org/indicator/SN.ITK.DEFC.ZS,https://docs.google.com/spreadsheets/d/1zolTt0KFh0RFuwBy8pb3Hw0BrRteH0sCabyLhNJolT4/edit#gid=643010833
Argentina,"Most pets per capita 
",NICE!,80% of people have pets,"best transgender rights?, best labour protections, in adoption of GM crops?",Myanimal.com,https://myanimals.com/animals/argentina-the-country-with-the-most-pets-per-capita/,
Armenia,Most chess grand masters,SKILLZ,Most chess grand masters per capita,,Chess.com,https://www.chess.com/forum/view/general/gm-s-per-capita-worldwide-1-iceland2,
Australia,Most natural parks,NATURE,,leader in organic agriculture  ,The Lancet,https://www.thelancet.com/journals/lanpub/article/PIIS2468-2667(18)30183-X/fulltext,https://en.wikipedia.org/wiki/Agriculture_in_Argentina
Austria,"Invented postcards!
",NICE!,,"• first biodynamic wines
• first to invent postcards
• first green roofs
• world leader in prosthetics?
• biggest solar thermal market?
",Advantage Austria,"https://www.camping.info/magazin/en/10-facts-about-austria-for-campers
https://livingroofs.org/hamburg-buries-autobahn/
https://www.advantageaustria.org/jo/en/search/partners?industry[]=B.55",
Azerbaijan,Earliest Christian state,NICE!,First to adopt Christianity as a state religion.,,Radio Free Europe,https://www.rferl.org/a/1341934.html,
Bahrain,Use of AI in goverment,COOL TECH,"First to shape guidelines for using AI In goverment
",first to merge Islamic Finance with modern banking?,CBME,"https://www.cbnme.com/logistics-news/bahrain-and-uk-first-in-the-world-to-pilot-new-ai-procurement-guidelines/

https://www.zawya.com/mena/en/press-releases/story/Bahrain_UAE_and_Saudi_Arabia_ranked_in_worlds_top_five_Islamic_finance_economies_by_the_Islamic_Development_Bank-ZAWYA20201216123319/",
